公司名称 公司规模 岗位 公司位置 年薪 经验要求 basic ID
贝壳 居住服务,上市公司,2000人以上 python开发工程师 北京·西二旗 20k-30k 经验3-5年,本科 python开发工程师,北京·西二旗 2
平安科技 科技金融,人工智能服务,软件服务｜咨询,上市公司,2000人以上 117121-高级Python开发工程师 深圳·南山区 15k-25k 经验1-3年,本科 117121-高级Python开发工程师,深圳·南山区 3
金证睿服 软件服务｜咨询,上市公司,2000人以上 python开发工程师 深圳·福田区 10k-15k 经验1-3年,本科 python开发工程师,深圳·福田区 4
弘连网络 数据服务｜咨询,A轮,150-500人 python开发工程师 上海·七宝 10k-20k 经验1-3年,本科 python开发工程师,上海·七宝 5
云孚科技 人工智能服务,不需要融资,15-50人 Python开发工程师 北京·海淀区 10k-20k 经验不限,本科 Python开发工程师,北京·海淀区 6
睿智思科 IT技术服务｜咨询,天使轮,15-50人 python开发工程师 北京·奥运村 7k-14k 经验不限,本科 python开发工程师,北京·奥运村 7
奇点浩翰 数据服务｜咨询,IT技术服务｜咨询,未融资,50-150人 python开发工程师 北京·东四 15k-30k 经验3-5年,本科 python开发工程师,北京·东四 8
云孚科技 人工智能服务,不需要融资,15-50人 中级python开发工程师 北京·海淀区 15k-20k 经验1-3年,本科 中级python开发工程师,北京·海淀区 9
领星 软件服务｜咨询,数据服务｜咨询,C轮,500-2000人 Python开发工程师 深圳·西丽 15k-30k 经验1-3年,本科 Python开发工程师,深圳·西丽 10
第三石科技 生活服务,B轮,50-150人 python开发工程师 北京·朝阳区 13k-25k 经验1-3年,本科 python开发工程师,北京·朝阳区 11
天皓集团 软件服务｜咨询,未融资,500-2000人 高级python开发工程师 石家庄·谈固 10k-15k 经验1-3年,大专 高级python开发工程师,石家庄·谈固 12
广东铭太信息科技有限公司 IT技术服务｜咨询,不需要融资,150-500人 Python工程师 广州·天河区 8k-12k 经验3-5年,本科 Python工程师,广州·天河区 13
微博 社交媒体,上市公司,2000人以上 python开发工程师(MJ006750) 北京·马连洼 20k-40k 经验1-3年,本科 python开发工程师(MJ006750),北京·马连洼 14
